GEOID,NAME,metro_state,POP,DENSITY
0171201,NA,"NA, AL",NA,NA
0125864,NA,"NA, AL",NA,NA
0152320,NA,"NA, AL",NA,NA
0165412,NA,"NA, AL",NA,NA
0176200,NA,"NA, AL",NA,NA
0135512,NA,"NA, AL",NA,NA
0107588,NA,"NA, AL",NA,NA
0174688,"Tallassee city, Alabama","Tallassee, AL",4502,407.20396717
0139472,"Kellyton town, Alabama","Kellyton, AL",198,204.79225522
0165472,"Rockford town, Alabama","Rockford, AL",436,131.77043012
0174352,"Sylacauga city, Alabama","Sylacauga, AL",12034,594.26502179
0174592,"Talladega city, Alabama","Talladega, AL",15457,606.03715047
0121184,"Dothan city, Alabama","Dothan, AL",68941,768.05428336
0154600,"Newville town, Alabama","Newville, AL",512,127.42384721
0170128,"Shorter town, Alabama","Shorter, AL",395,87.006991549
0127520,"Fort Deposit town, Alabama","Fort Deposit, AL",1155,204.01108333
0130808,"Gordonville town, Alabama","Gordonville, AL",278,50.160105540000004
0144536,"Lowndesboro town, Alabama","Lowndesboro, AL",93,117.45450378
0181912,"White Hall town, Alabama","White Hall, AL",751,49.078879217
0116240,"Coffee Springs town, Alabama","Coffee Springs, AL",214,273.00954794
0132536,"Gu-Win town, Alabama","Gu-Win, AL",174,89.574233604
0178204,"Valley city, Alabama","Valley, AL",9141,714.75179322
0115304,"Clayhatchee town, Alabama","Clayhatchee, AL",585,215.23736452
0159832,"Pinckard town, Alabama","Pinckard, AL",630,118.12172769
0123296,"Elba city, Alabama","Elba, AL",3811,248.46890805
0124184,"Enterprise city, Alabama","Enterprise, AL",28376,926.36306893
0121448,"Dozier town, Alabama","Dozier, AL",320,108.46652128
0144728,"Luverne city, Alabama","Luverne, AL",2744,175.36793028
0165040,"Roanoke city, Alabama","Roanoke, AL",5913,315.59520359
0152848,"Munford town, Alabama","Munford, AL",1348,526.54584524
0119216,"Cusseta town, Alabama","Cusseta, AL",124,47.347003426
0160648,"Pinson city, Alabama","Pinson, AL",7106,667.85271562
0138608,"Jemison city, Alabama","Jemison, AL",2672,235.5129097
0146504,"Maplesville town, Alabama","Maplesville, AL",700,214.20767016
0176080,"Thorsby town, Alabama","Thorsby, AL",2057,352.90953778
0103076,"Auburn city, Alabama","Auburn, AL",66259,1102.8411237
0143744,"Loachapoka town, Alabama","Loachapoka, AL",198,174.34930608
0120008,"Deatsville town, Alabama","Deatsville, AL",1237,257.08500271
0122816,"Eclectic town, Alabama","Eclectic, AL",1013,246.74838803
0171190,"Smiths Station city, Alabama","Smiths Station, AL",5391,779.50769879
0116312,"Coker town, Alabama","Coker, AL",964,494.36226327
0140928,"Lake View town, Alabama","Lake View, AL",2671,1270.0697723
0177256,"Tuscaloosa city, Alabama","Tuscaloosa, AL",101129,1635.1035703
0143264,"Lineville city, Alabama","Lineville, AL",2249,232.63938223
0183640,"Woodstock town, Alabama","Woodstock, AL",1638,231.49606415
0151648,"Moundville town, Alabama","Moundville, AL",2459,533.34179351
0102500,"Arley town, Alabama","Arley, AL",345,91.733652408
0153400,"Nauvoo town, Alabama","Nauvoo, AL",202,204.17092243
0173080,"Stevenson city, Alabama","Stevenson, AL",1951,253.55470369
0118304,"Creola city, Alabama","Creola, AL",2036,142.98803513
0103724,"Bakerhill town, Alabama","Bakerhill, AL",252,91.58744819
0115640,"Clio city, Alabama","Clio, AL",1274,126.56707241
0114104,"Chelsea city, Alabama","Chelsea, AL",14126,612.02056056
0115064,"Citronelle city, Alabama","Citronelle, AL",3861,149.38705798
0116768,"Columbiana city, Alabama","Columbiana, AL",4550,262.97762253
0133256,"Harpersville town, Alabama","Harpersville, AL",1727,81.102770482
0113264,"Center Point city, Alabama","Center Point, AL",16110,2604.896871
0109424,"Brilliant town, Alabama","Brilliant, AL",873,82.424837854
0132224,"Guin city, Alabama","Guin, AL",2275,151.91524182
0124688,"Eva town, Alabama","Eva, AL",499,120.32627013
0140072,"Kinsey town, Alabama","Kinsey, AL",2267,187.00389913
0170896,"Skyline town, Alabama","Skyline, AL",838,210.4862015
0132560,"Hackleburg town, Alabama","Hackleburg, AL",1258,82.359306303
0125648,"Falkville town, Alabama","Falkville, AL",1257,332.65094862
0162472,"Priceville town, Alabama","Priceville, AL",3794,651.25251612
0181504,"Westover town, Alabama","Westover, AL",1726,88.841028109
0124664,"Eutaw town, Alabama","Eutaw, AL",2603,218.12876781
0177616,"Union town, Alabama","Union, AL",209,254.52033807
0116744,"Columbia town, Alabama","Columbia, AL",737,187.47553515
0118088,"Cowarts town, Alabama","Cowarts, AL",2079,279.62228152
0164152,"Rehobeth town, Alabama","Rehobeth, AL",1657,221.31342452
0180376,"Webb town, Alabama","Webb, AL",1477,131.18036491
0109328,"Bridgeport city, Alabama","Bridgeport, AL",2297,530.70395105
0157696,"Paint Rock town, Alabama","Paint Rock, AL",197,454.48585487
0169000,"Section town, Alabama","Section, AL",740,161.84104798
0132440,"Gurley town, Alabama","Gurley, AL",812,228.7356384
0145784,"Madison city, Alabama","Madison, AL",51593,1701.7133752
0100460,"Adamsville city, Alabama","Adamsville, AL",4281,170.07505012
0102320,"Argo town, Alabama","Argo, AL",4348,404.47726119
0109736,"Brookside town, Alabama","Brookside, AL",1329,207.57620706
0125120,"Fairfield city, Alabama","Fairfield, AL",10568,3045.5620676
0131384,"Graysville city, Alabama","Graysville, AL",2092,122.9696722
0163730,NA,"NA, AL",NA,NA
0169978,NA,"NA, AL",NA,NA
0128552,"Fultondale city, Alabama","Fultondale, AL",9284,761.14547176
0136448,"Hueytown city, Alabama","Hueytown, AL",15322,778.40662061
0134984,NA,"NA, AL",NA,NA
0169240,"Semmes city, Alabama","Semmes, AL",5594,458.34296088
0118952,"Cuba town, Alabama","Cuba, AL",290,71.390893232
0128768,"Gainesville town, Alabama","Gainesville, AL",183,106.46067089
0173728,"Sulligent city, Alabama","Sulligent, AL",1834,234.09767463
0128312,"Frisco City town, Alabama","Frisco City, AL",1153,286.38294593
0150192,"Monroeville city, Alabama","Monroeville, AL",5718,428.18421592
0107912,"Boaz city, Alabama","Boaz, AL",9704,666.95710945
0131096,"Grant town, Alabama","Grant, AL",916,494.76224696
0174424,"Sylvan Springs town, Alabama","Sylvan Springs, AL",1492,171.77190061
0179944,"Warrior city, Alabama","Warrior, AL",3210,329.08739189
0181336,"West Jefferson town, Alabama","West Jefferson, AL",421,234.41057803
0173848,"Sumiton city, Alabama","Sumiton, AL",2332,447.66730093
0117368,"Cordova city, Alabama","Cordova, AL",1850,317.24575513
0143240,"Linden city, Alabama","Linden, AL",1880,525.35678669
0155992,"Oakman town, Alabama","Oakman, AL",724,234.92984772
0170704,"Sipsey town, Alabama","Sipsey, AL",401,834.50525812
0174304,"Sweet Water town, Alabama","Sweet Water, AL",244,103.67741403
0176872,"Trinity town, Alabama","Trinity, AL",2477,501.6719747
0101228,"Aliceville city, Alabama","Aliceville, AL",2254,493.90055563
0111512,"Camden city, Alabama","Camden, AL",1765,421.83398303
0155848,"Oak Hill town, Alabama","Oak Hill, AL",23,41.046503968
0159880,"Pine Apple town, Alabama","Pine Apple, AL",132,42.57697978
0160240,"Pine Hill town, Alabama","Pine Hill, AL",852,223.23247684
0151696,"Mountain Brook city, Alabama","Mountain Brook, AL",20297,1582.599417
0152776,"Mulga town, Alabama","Mulga, AL",810,1262.0976583
0161008,"Pleasant Grove city, Alabama","Pleasant Grove, AL",9604,971.99535788
0100676,"Akron town, Alabama","Akron, AL",328,478.28722026
0153784,"Newbern town, Alabama","Newbern, AL",173,148.84147929
0146696,"Margaret town, Alabama","Margaret, AL",5137,523.01269821
0164920,"Riverside city, Alabama","Riverside, AL",2377,274.31804934
0172888,"Steele town, Alabama","Steele, AL",1089,162.21700604
0179008,"Vincent town, Alabama","Vincent, AL",2213,107.50824583
0153208,NA,"NA, AL",NA,NA
0181744,NA,"NA, AL",NA,NA
0157912,NA,"NA, AL",NA,NA
0128408,NA,"NA, AL",NA,NA
0108680,NA,"NA, AL",NA,NA
0103508,NA,"NA, AL",NA,NA
0139064,NA,"NA, AL",NA,NA
0105188,NA,"NA, AL",NA,NA
0118040,"Courtland town, Alabama","Courtland, AL",588,199.16614113
0151600,"Moulton city, Alabama","Moulton, AL",3241,540.67975813
0155044,"North Courtland town, Alabama","North Courtland, AL",620,936.14478889
0176584,"Town Creek town, Alabama","Town Creek, AL",1039,387.55060334
0146768,"Marion city, Alabama","Marion, AL",3123,295.57715969
