GEOID,metro_state,POP
0128936,"Gantt, AL",215
0179272,"Vredenburgh, AL",290
0142352,"Lester, AL",131
0133904,"Heath, AL",256
0132656,"Haleburg, AL",100
0145472,"McIntosh, AL",215
0150000,"Mobile, AL",188720
0107456,"Blountsville, AL",1670
0145208,"McDonald Chapel, AL",NA
0164104,"Reform, AL",1552
0131720,"Greensboro, AL",2268
0158896,"Pell City, AL",14045
0162328,"Prattville, AL",35957
0132416,"Guntersville, AL",8571
0172672,"Spruce Pine, AL",NA
0135130,"Hobson, AL",NA
0152680,"Movico, AL",NA
0125216,"Fairford, AL",NA
0105980,"Bessemer, AL",26472
0159016,"Penton, AL",NA
0109064,"Brantleyville, AL",NA
0134490,"Highland Lakes, AL",NA
0129056,"Gardendale, AL",14177
0134024,"Helena, AL",19925
0155152,"North Johns, AL",145
0176944,"Trussville, AL",22635
0120104,"Decatur, AL",54445
0134816,"Hillsboro, AL",521
0102260,"Ardmore, AL",1463
0119912,"Dayton, AL",46
0125816,"Faunsdale, AL",92
0175936,"Thomaston, AL",381
0148808,"Millport, AL",980
0124472,"Ethelsville, AL",73
0114008,"Chatom, AL",1182
0159472,"Phenix City, AL",36487
0181720,"Wetumpka, AL",8371
0163216,"Ragland, AL",1722
0178232,"Valley Grande, AL",3570
0126848,"Florala, AL",1906
0179488,"Waldo, AL",272
0112040,"Cardiff, AL",55
0160720,"Pisgah, AL",692
0105692,"Benton, AL",41
0104948,"Beaverton, AL",187
0183400,"Woodland, AL",182
0145904,"Madrid, AL",290
0116936,"Concord, AL",NA
0167800,"Samson, AL",1854
0123872,"Emelle, AL",48
0153112,"Myrtlewood, AL",116
0138248,"Jacksons' Gap, AL",827
0148052,"Memphis, AL",26
0135896,"Hoover, AL",85768
0133448,"Hartselle, AL",14466
0164656,"Ridgeville, AL",110
0132848,"Hamilton, AL",6606
0172720,"Standing Rock, AL",NA
0183976,"Yellow Bluff, AL",202
0182872,"Wilton, AL",681
0112304,"Carrollton, AL",943
0150312,"Montevallo, AL",6738
0148424,"Midway, AL",466
0157000,"Oneonta, AL",6577
0140888,"Lakeview, AL",139
0178984,"Vina, AL",356
0123488,"Elkmont, AL",510
0164776,"River Falls, AL",535
0111680,"Camp Hill, AL",950
0137312,"Ider, AL",718
0119744,"Dauphin Island, AL",1335
0180496,"Wedowee, AL",794
0157120,"Opp, AL",6390
0110240,"Brundidge, AL",1902
0151456,"Morris, AL",2149
0176824,"Triana, AL",949
0173872,"Summerdale, AL",1681
0156400,"Odenville, AL",3893
0132080,"Grove Hill, AL",1738
0142472,"Level Plains, AL",2002
0184096,"York, AL",2239
0134480,"Highland Lake, AL",410
0133640,"Hayden, AL",1343
0148376,"Midfield, AL",5002
0142016,"Leesburg, AL",1013
0103940,"Banks, AL",164
0116684,"Colony, AL",289
0120296,"Demopolis, AL",6612
0109400,"Brighton, AL",2775
0125840,"Fayette, AL",4275
0125384,"Fairview, AL",463
0137264,"Hytop, AL",422
0147728,"Maytown, AL",371
0182848,"Wilsonville, AL",2056
0122216,"East Brewton, AL",2356
0116600,"Collinsville, AL",2009
0130496,"Good Hope, AL",2362
0162688,"Providence, AL",197
0112496,"Castleberry, AL",540
0124256,"Epes, AL",329
0163984,"Reece City, AL",627
0159760,"Pike Road, AL",10159
0116264,"Coffeeville, AL",322
0124568,"Eufaula, AL",11709
0120392,"Detroit, AL",220
0161038,"Pleasant Groves, AL",404
0129464,"Geneva, AL",4289
0169648,"Sheffield, AL",8901
0114464,"Childersburg, AL",4837
0100820,"Alabaster, AL",33487
0180352,"Weaver, AL",3061
0138152,"Jackson, AL",4642
0153448,"Nectar, AL",341
0100484,"Addison, AL",718
0170536,"Silverhill, AL",1170
0171496,"Somerville, AL",773
0138272,"Jacksonville, AL",12544
0171280,"Snead, AL",838
0101708,"Andalusia, AL",8680
0132968,"Hanceville, AL",3461
0123656,"Elmore, AL",1348
0174160,"Susan Moore, AL",776
0153472,"Needham, AL",85
0123344,"Eldridge, AL",123
0156472,"Ohatchee, AL",1153
0159496,"Phil Campbell, AL",1071
0142640,"Lexington, AL",709
0136088,"Horn Hill, AL",229
0104660,"Bay Minette, AL",9354
0103028,"Attalla, AL",5771
0178480,"Vernon, AL",1850
0167176,"Rutledge, AL",449
0103676,"Baileyton, AL",619
0178264,"Vance, AL",1654
0111032,"Butler, AL",1721
0178240,"Valley Head, AL",549
0179344,"Wadley, AL",714
0112760,"Cedar Bluff, AL",1823
0174616,"Talladega Springs, AL",159
0151520,"Mosses, AL",874
0124808,"Evergreen, AL",3526
0158272,"Parrish, AL",937
0163336,"Rainsville, AL",5123
0129992,"Glencoe, AL",5071
0105812,"Berlin, AL",460
0101396,"Allgood, AL",650
0132896,"Hammondville, AL",495
0157144,"Orange Beach, AL",6235
0143336,"Lipscomb, AL",2139
0166408,"Rosa, AL",319
0169840,"Shiloh, AL",281
0157024,"Onycha, AL",186
0126992,"Foley, AL",20391
0105932,"Berry, AL",1095
0114392,"Chickasaw, AL",5702
0160372,"Pine Ridge, AL",284
0162496,"Prichard, AL",21428
0123320,"Elberta, AL",1746
0163408,"Ranburne, AL",398
0157240,"Orrville, AL",168
0128672,"Fyffe, AL",1045
0133424,"Hartford, AL",2578
0103220,"Autaugaville, AL",871
0121328,"Douglas, AL",778
0143888,"Locust Fork, AL",1197
0155752,"Oak Grove, AL",521
0115256,"Clay, AL",9923
0154168,"New Hope, AL",2916
0148064,"Mentone, AL",368
0165208,"Robertsdale, AL",6815
0143384,"Lisman, AL",493
0171900,"South Vinemont, AL",745
0129608,"Geraldine, AL",898
0163768,"Red Level, AL",478
0120955,"Dodge City, AL",623
0145496,"McKenzie, AL",492
0144800,"Lynn, AL",635
0152608,"Mount Vernon, AL",1495
0119648,"Daphne, AL",26869
0174976,"Tarrant, AL",6109
0168736,"Scottsboro, AL",14436
0137096,"Hurtsboro, AL",589
0174400,"Sylvania, AL",1894
0103556,"Babbie, AL",596
0114152,"Cherokee, AL",1008
0151264,"Mooresville, AL",61
0153016,"Muscle Shoals, AL",14575
0165016,"Riverview, AL",181
0142160,"Leighton, AL",756
0128816,"Gallant, AL",NA
0139280,"Kansas, AL",211
0129296,"Gaylesville, AL",141
0162952,"Putnam, AL",NA
0146192,"Malcolm, AL",NA
0142304,"Leroy, AL",NA
0117704,"Cottondale, AL",NA
0128504,"Fulton, AL",246
0117824,"Cottonwood, AL",1255
0160264,"Pine Level, AL",NA
0172408,"Spring Garden, AL",NA
0135752,"Holtville, AL",NA
0170632,"Sims Chapel, AL",NA
0133544,"Hatton, AL",NA
0148784,"Millerville, AL",NA
0112070,"Carlisle-Rockledge, AL",NA
0167608,"Saks, AL",NA
0169180,"Selmont-West Selmont, AL",NA
0124616,"Eunola, AL",NA
0116080,"Coats Bend, AL",NA
0107120,"Black, AL",203
0161536,"Pollard, AL",136
0133472,"Harvest, AL",NA
0105164,"Belk, AL",204
0151216,"Moores Mill, AL",NA
0114968,"Chunchula, AL",NA
0180736,"Weogufka, AL",NA
0181084,"West End-Cobb Town, AL",NA
0175768,"Theodore, AL",NA
0161488,"Point Clear, AL",NA
0171201,"Smoke Rise, AL",NA
0125864,"Fayetteville, AL",NA
0152320,"Mount Olive, AL",NA
0165412,"Rock Creek, AL",NA
0176200,"Tibbie, AL",NA
0135512,"Hollins, AL",NA
0107588,"Blue Ridge, AL",NA
0174688,"Tallassee, AL",4502
0139472,"Kellyton, AL",198
0165472,"Rockford, AL",436
0174352,"Sylacauga, AL",12034
0174592,"Talladega, AL",15457
0121184,"Dothan, AL",68941
0154600,"Newville, AL",512
0170128,"Shorter, AL",395
0127520,"Fort Deposit, AL",1155
0130808,"Gordonville, AL",278
0144536,"Lowndesboro, AL",93
0181912,"White Hall, AL",751
0116240,"Coffee Springs, AL",214
0132536,"Gu-Win, AL",174
0178204,"Valley, AL",9141
0115304,"Clayhatchee, AL",585
0159832,"Pinckard, AL",630
0123296,"Elba, AL",3811
0124184,"Enterprise, AL",28376
0121448,"Dozier, AL",320
0144728,"Luverne, AL",2744
0165040,"Roanoke, AL",5913
0152848,"Munford, AL",1348
0119216,"Cusseta, AL",124
0160648,"Pinson, AL",7106
0138608,"Jemison, AL",2672
0146504,"Maplesville, AL",700
0176080,"Thorsby, AL",2057
0103076,"Auburn, AL",66259
0143744,"Loachapoka, AL",198
0120008,"Deatsville, AL",1237
0122816,"Eclectic, AL",1013
0171190,"Smiths Station, AL",5391
0116312,"Coker, AL",964
0140928,"Lake View, AL",2671
0177256,"Tuscaloosa, AL",101129
0143264,"Lineville, AL",2249
0183640,"Woodstock, AL",1638
0151648,"Moundville, AL",2459
0102500,"Arley, AL",345
0153400,"Nauvoo, AL",202
0173080,"Stevenson, AL",1951
0118304,"Creola, AL",2036
0103724,"Bakerhill, AL",252
0115640,"Clio, AL",1274
0114104,"Chelsea, AL",14126
0115064,"Citronelle, AL",3861
0116768,"Columbiana, AL",4550
0133256,"Harpersville, AL",1727
0113264,"Center Point, AL",16110
0109424,"Brilliant, AL",873
0132224,"Guin, AL",2275
0124688,"Eva, AL",499
0140072,"Kinsey, AL",2267
0170896,"Skyline, AL",838
0132560,"Hackleburg, AL",1258
0125648,"Falkville, AL",1257
0162472,"Priceville, AL",3794
0181504,"Westover, AL",1726
0124664,"Eutaw, AL",2603
0177616,"Union, AL",209
0116744,"Columbia, AL",737
0118088,"Cowarts, AL",2079
0164152,"Rehobeth, AL",1657
0180376,"Webb, AL",1477
0109328,"Bridgeport, AL",2297
0157696,"Paint Rock, AL",197
0169000,"Section, AL",740
0132440,"Gurley, AL",812
0145784,"Madison, AL",51593
0100460,"Adamsville, AL",4281
0102320,"Argo, AL",4348
0109736,"Brookside, AL",1329
0125120,"Fairfield, AL",10568
0131384,"Graysville, AL",2092
0163730,"Redland, AL",NA
0169978,"Shoal Creek, AL",NA
0128552,"Fultondale, AL",9284
0136448,"Hueytown, AL",15322
0134984,"Hissop, AL",NA
0169240,"Semmes, AL",5594
0118952,"Cuba, AL",290
0128768,"Gainesville, AL",183
0173728,"Sulligent, AL",1834
0128312,"Frisco City, AL",1153
0150192,"Monroeville, AL",5718
0107912,"Boaz, AL",9704
0131096,"Grant, AL",916
0174424,"Sylvan Springs, AL",1492
0179944,"Warrior, AL",3210
0181336,"West Jefferson, AL",421
0173848,"Sumiton, AL",2332
0117368,"Cordova, AL",1850
0143240,"Linden, AL",1880
0155992,"Oakman, AL",724
0170704,"Sipsey, AL",401
0174304,"Sweet Water, AL",244
0176872,"Trinity, AL",2477
0101228,"Aliceville, AL",2254
0111512,"Camden, AL",1765
0155848,"Oak Hill, AL",23
0159880,"Pine Apple, AL",132
0160240,"Pine Hill, AL",852
0151696,"Mountain Brook, AL",20297
0152776,"Mulga, AL",810
0161008,"Pleasant Grove, AL",9604
0100676,"Akron, AL",328
0153784,"Newbern, AL",173
0146696,"Margaret, AL",5137
0164920,"Riverside, AL",2377
0172888,"Steele, AL",1089
0179008,"Vincent, AL",2213
0153208,"Nanafalia, AL",NA
0181744,"Whatley, AL",NA
0157912,"Panola, AL",NA
0128408,"Fruitdale, AL",NA
0108680,"Boykin, AL",NA
0103508,"Axis, AL",NA
0139064,"Joppa, AL",NA
0105188,"Bellamy, AL",NA
0118040,"Courtland, AL",588
0151600,"Moulton, AL",3241
0155044,"North Courtland, AL",620
0176584,"Town Creek, AL",1039
0146768,"Marion, AL",3123
0102908,"Ashville, AL",2365
0154582,"New Union, AL",NA
0176208,"Tidmore Bend, AL",NA
0109457,"Bristow Cove, AL",NA
0123224,"Egypt, AL",NA
0128120,"Fredonia, AL",NA
0182176,"Whitesboro, AL",NA
0182104,"White Plains, AL",NA
0173152,"Stewartville, AL",NA
0157384,"Our Town, AL",NA
0151469,"Morrison Crossroads, AL",NA
0146600,"Marbury, AL",NA
0138032,"Ivalee, AL",NA
0173056,"Sterrett, AL",NA
0131000,"Graham, AL",NA
0169672,"Shelby, AL",NA
0123880,"Emerald Mountain, AL",NA
0178312,"Vandiver, AL",NA
0113672,"Centreville, AL",2609
0180928,"West Blocton, AL",1252
0135800,"Homewood, AL",25377
0111488,"Calvert, AL",NA
0112112,"Carlton, AL",NA
0120152,"Deer Park, AL",NA
0179032,"Vinegar Bend, AL",NA
0167584,"St. Stephens, AL",NA
0165784,"Rockville, AL",NA
0145316,"Macedonia, AL",NA
0103004,"Atmore, AL",9107
0127088,"Forestdale, AL",NA
0131348,"Grayson Valley, AL",NA
0143720,"Livingston, AL",3260
0131024,"Grand Bay, AL",NA
0148400,"Midland City, AL",2358
0113648,"Centre, AL",3542
0126824,"Flomaton, AL",1393
0165592,"Rock Mills, AL",NA
0143648,"Littleville, AL",992
0139784,"Killen, AL",955
0159592,"Pickensville, AL",578
0133808,"Hazel Green, AL",NA
0151096,"Moody, AL",13065
0117968,"County Line, AL",265
0119360,"Daleville, AL",5102
0121136,"Dora, AL",1905
0130640,"Goodwater, AL",1315
0169120,"Selma, AL",17231
0179728,"Walnut Grove, AL",700
0101660,"Altoona, AL",913
0168016,"Sanford, AL",254
0167056,"Russellville, AL",9737
0135200,"Hodges, AL",283
0104684,"Bayou La Batre, AL",2479
0143816,"Lockhart, AL",504
0159232,"Peterman, AL",NA
0109500,"Brook Highland, AL",NA
0102116,"Arab, AL",8383
0167920,"Sand Rock, AL",569
0147740,"Meadowbrook, AL",NA
0154432,"New Site, AL",760
0166216,"Rogersville, AL",1251
0139520,"Kennedy, AL",421
0131912,"Greenville, AL",7395
0181528,"West Point, AL",609
0144608,"Loxley, AL",3049
0170416,"Silas, AL",430
0155200,"Northport, AL",26115
0132584,"Hackneyville, AL",NA
0172600,"Springville, AL",4304
0119336,"Dadeville, AL",3053
0137465,"Indian Springs Village, AL",2559
0141368,"Langston, AL",262
0120272,"Delta, AL",NA
0124880,"Excel, AL",632
0142928,"Lillian, AL",NA
0172816,"Stapleton, AL",NA
0173272,"Stockton, AL",NA
0159064,"Perdido, AL",NA
0108272,"Bon Secour, AL",NA
0175096,"Taylor, AL",2428
0109208,"Brewton, AL",5210
0101756,"Anderson, AL",267
0152344,"Mount Olive, AL",NA
0148112,"Meridianville, AL",NA
0115472,"Cleveland, AL",1306
0100100,"Abanda, AL",NA
0177580,"Underwood-Petersville, AL",NA
0176680,"Trafford, AL",617
0118856,"Crossville, AL",1857
0130736,"Gordo, AL",1614
0128024,"Franklin, AL",512
0127616,"Fort Payne, AL",14074
0153232,"Nances Creek, AL",NA
0102428,"Ariton, AL",739
0154312,"New Market, AL",NA
0159088,"Perdido Beach, AL",649
0127640,"Fort Rucker, AL",NA
0121280,"Double Springs, AL",1062
0102860,"Ashland, AL",1895
0144344,"Louisville, AL",462
0126152,"Fitzpatrick, AL",NA
0168352,"Satsuma, AL",6190
0117176,"Coosada, AL",1298
0164040,"Reeltown, AL",NA
0175960,"Thomasville, AL",3836
0105140,"Belgreen, AL",NA
0135560,"Holly Pond, AL",826
0171832,"Southside, AL",8905
0140648,"Ladonia, AL",NA
0133856,"Headland, AL",4712
0119024,"Cullomburg, AL",NA
0110456,"Bucks, AL",NA
0132248,"Gulfcrest, AL",NA
0146264,"Malvern, AL",1463
0130760,"Gordon, AL",325
0129944,"Glen Allen, AL",480
0109016,"Brantley, AL",768
0112544,"Catherine, AL",NA
0135536,"Hollis Crossroads, AL",NA
0167536,"St. Florian, AL",670
0111416,"Calera, AL",14717
0144160,"Lookout Mountain, AL",NA
0176320,"Tillmans Corner, AL",NA
0163912,"Redstone Arsenal, AL",NA
0148616,"Mignon, AL",NA
0135704,"Holt, AL",NA
0137864,"Irondale, AL",12893
0178552,"Vestavia Hills, AL",34413
0112016,"Carbon Hill, AL",1892
0177352,"Twin, AL",392
0176920,"Troy, AL",18957
0101180,"Alexandria, AL",NA
0116000,"Coaling, AL",1663
0133976,"Heflin, AL",3409
0123032,"Edgewater, AL",NA
0177280,"Tuscumbia, AL",8461
0163576,"Red Bay, AL",3085
0148832,"Millry, AL",497
0136592,"Huguley, AL",NA
0109136,"Brent, AL",4747
0141296,"Lanett, AL",6151
0127376,"Forkland, AL",588
0154480,"Newton, AL",1456
0103820,"Ballplay, AL",NA
0163495,"Ray, AL",NA
0114728,"Choccolocco, AL",NA
0121890,"Dunnavant, AL",NA
0177880,"Union Springs, AL",3410
0115136,"Clanton, AL",8794
0109880,"Broomtown, AL",NA
0168280,"Sardis City, AL",1775
0137000,"Huntsville, AL",200574
0139856,"Kimberly, AL",3593
0177304,"Tuskegee, AL",8142
0268340,"Seldovia, AK",275
0242380,"Kwethluk, AK",762
0212680,"Chefornak, AK",471
0200870,"Akiak, AK",394
0201420,"Aleknagik, AK",220
0256320,"Nuiqsut, AK",425
0284070,"White Mountain, AK",201
0222910,"Emmonak, AK",819
0254150,"Nikolai, AK",86
0236990,"Kaktovik, AK",254
0280770,"Unalaska, AK",4432
0229290,"Goodnews Bay, AK",277
0268670,"Shageluk, AK",78
0232810,"Hollis, AK",NA
0260860,"Pitkas Point, AK",NA
0212350,"Chase, AK",NA
0272985,"Steele Creek, AK",NA
0239630,"King Salmon, AK",NA
0225880,"Flat, AK",NA
0285280,"Willow, AK",NA
0220380,"Eagle, AK",83
0256600,"Nunam Iqua, AK",207
0267680,"Scammon Bay, AK",534
0253270,"Newhalen, AK",187
0259650,"Pelican, AK",87
0220970,"Edna Bay, AK",41
0251960,"Nabesna, AK",NA
0212970,"Chenega, AK",NA
0205000,"Badger, AK",NA
0279120,"Tuntutuliak, AK",NA
0228740,"Glennallen, AK",NA
0214000,"Chistochina, AK",NA
0254480,"Ninilchik, AK",NA
0266510,"Salamatof, AK",NA
0280100,"Ugashik, AK",NA
0240645,"Knik-Fairview, AK",NA
0261788,"Point MacKenzie, AK",NA
0270870,"Skwentna, AK",NA
0274340,"Susitna, AK",NA
0211690,"Central, AK",NA
0214880,"Circle, AK",NA
0244580,"Livengood, AK",NA
0249530,"Minto, AK",NA
0264820,"Rampart, AK",NA
0264600,"Quinhagak, AK",706
0286490,"Yakutat, AK",NA
0232310,"Healy Lake, AK",NA
0278790,"Tuluksak, AK",NA
0232150,"Healy, AK",NA
0281320,"Upper Kalskag, AK",235
0254260,"Nikolski, AK",NA
0239740,"Kipnuk, AK",NA
0252940,"Nelson Lagoon, AK",NA
0218805,"Denali Park, AK",NA
0214110,"Chitina, AK",NA
0238910,"Kenny Lake, AK",NA
0248200,"Mendeltna, AK",NA
0248540,"Mentasta Lake, AK",NA
0259320,"Paxson, AK",NA
0270930,"Slana, AK",NA
0218675,"Deltana, AK",NA
0219750,"Dot Lake Village, AK",NA
0277800,"Tok, AK",NA
0270100,"Shungnak, AK",264
0266470,"St. Paul, AK",481
0203550,"Aniak, AK",549
0245460,"Lower Kalskag, AK",314
0281920,"Utqiagvik, AK",4467
0284120,"Whitestone, AK",NA
0252720,"Napaskiak, AK",410
0221810,"Ekwok, AK",131
0282200,"Valdez, AK",3855
0268890,"Shaktoolik, AK",259
0282860,"Wales, AK",151
0255140,"Noorvik, AK",675
0233030,"Holy Cross, AK",164
0237430,"Kaltag, AK",173
0242050,"Koyukuk, AK",92
0275160,"Tanana, AK",249
0270540,"Sitka, AK",8493
0228590,"Glacier View, AK",NA
0223720,"Eureka Roadhouse, AK",NA
0260460,"Petersville, AK",NA
0274350,"Susitna North, AK",NA
0226835,"Four Mile Road, AK",NA
0256680,"Nunapitchuk, AK",530
0203000,"Anchorage, AK",288000
0239300,"Kiana, AK",338
0219720,"Dot Lake, AK",NA
0203110,"Anchor Point, AK",NA
0206630,"Bettles, AK",12
0236400,"Juneau, AK",31974
0206520,"Bethel, AK",6586
0260750,"Pilot Station, AK",625
0264380,"Prudhoe Bay, AK",NA
0230060,"Grayling, AK",198
0240840,"Kobuk, AK",153
0214330,"Chuathbaluk, AK",126
0234460,"Hydaburg, AK",379
0271640,"Soldotna, AK",4719
0277140,"Thorne Bay, AK",467
0238420,"Kenai, AK",7807
0218620,"Delta Junction, AK",928
0237650,"Kasaan, AK",48
0227530,"Galena, AK",450
0224230,"Fairbanks, AK",30917
0230940,"Gustavus, AK",447
0236540,"Kachemak, AK",490
0240400,"Klawock, AK",787
0276260,"Tenakee Springs, AK",135
0260640,"Pilot Point, AK",65
0216530,"Cold Bay, AK",125
0265800,"St. George, AK",101
0213230,"Chevak, AK",1077
0201970,"Ambler, AK",262
0253050,"Nenana, AK",357
0263610,"Port Lions, AK",184
0258660,"Palmer, AK",7456
0241830,"Kotzebue, AK",3246
0246780,"Manley Hot Springs, AK",NA
0223900,"Excursion Inlet, AK",NA
0204430,"Atmautluak, AK",NA
0285610,"Wiseman, AK",NA
0237250,"Kalifornsky, AK",NA
0233580,"Hope, AK",NA
0263170,"Port Clarence, AK",NA
0273950,"Sunrise, AK",NA
0251455,"Mud Bay, AK",NA
0268370,"Seldovia Village, AK",NA
0273290,"Stevens Village, AK",NA
0207070,"Big Lake, AK",NA
0209657,"Buffalo Soapstone, AK",NA
0223460,"Ester, AK",NA
0275480,"Tazlina, AK",NA
0234790,"Igiugig, AK",NA
0248870,"Metlakatla, AK",NA
0231270,"Halibut Cove, AK",NA
0218510,"Deering, AK",123
0278680,"Trapper Creek, AK",NA
0222140,"Elfin Cove, AK",NA
0266550,"Salcha, AK",NA
0242490,"Kwigillingok, AK",NA
0241940,"Koyuk, AK",367
0229130,"Goldstream, AK",NA
0252915,"Nelchina, AK",NA
0220020,"Dry Creek, AK",NA
0207620,"Birch Creek, AK",NA
0261120,"Pleasant Valley, AK",NA
0217300,"Copper Center, AK",NA
0238090,"Kasilof, AK",NA
0213780,"Chignik Lake, AK",NA
0223790,"Evansville, AK",NA
0242820,"Lake Minchumina, AK",NA
0224980,"Farmers Loop, AK",NA
0231710,"Happy Valley, AK",NA
0263280,"Port Graham, AK",NA
0259540,"Pedro Bay, AK",NA
0226870,"Fox, AK",NA
0252845,"Naukati Bay, AK",NA
0262285,"Portage Creek, AK",NA
0202080,"Anaktuvuk Pass, AK",343
0204500,"Atqasuk, AK",248
0282750,"Wainwright, AK",587
0203440,"Angoon, AK",459
0268560,"Seward, AK",2796
0267570,"Saxman, AK",385
0200650,"Akhiok, AK",68
0243040,"Larsen Bay, AK",83
0257340,"Old Harbor, AK",215
0258550,"Ouzinkie, AK",153
0213550,"Chignik, AK",89
0255030,"Nondalton, AK",133
0263390,"Port Heiden, AK",109
0283080,"Wasilla, AK",10838
0262510,"Port Alexander, AK",52
0200065,"Adak, AK",326
0201200,"Alakanuk, AK",774
0251180,"Mountain Village, AK",877
0266140,"St. Mary's, AK",568
0255910,"North Pole, AK",2094
0219060,"Diomede, AK",119
0222250,"Elim, AK",341
0203220,"Anderson, AK",340
0253710,"New Stuyahok, AK",509
0277690,"Togiak, AK",841
0227640,"Gambell, AK",700
0254920,"Nome, AK",3870
0266360,"St. Michael, AK",414
0269770,"Shishmaref, AK",613
0204210,"Atka, AK",81
0272960,"Stebbins, AK",575
0275930,"Teller, AK",237
0209600,"Buckland, AK",422
0239960,"Kivalina, AK",379
0268230,"Selawik, AK",840
0216360,"Coffman Cove, AK",176
0217740,"Craig, AK",1262
0221040,"Eek, AK",315
0201090,"Akutan, AK",1041
0267020,"Sand Point, AK",1064
0247990,"Mekoryuk, AK",205
0252390,"Napakiak, AK",370
0261080,"Platinum, AK",67
0278240,"Toksook Bay, AK",673
0201860,"Allakaket, AK",161
0203880,"Anvik, AK",82
0226760,"Fort Yukon, AK",534
0233910,"Hughes, AK",83
0234350,"Huslia, AK",258
0256350,"Nulato, AK",243
0265590,"Ruby, AK",154
0272230,"South Van Horn, AK",NA
0248590,"Mertarvik, AK",NA
0261825,"Point Possession, AK",NA
0246890,"Manokotak, AK",440
0212920,"Chena Ridge, AK",NA
0245020,"Loring, AK",NA
0203990,"Arctic Village, AK",NA
0205750,"Beaver, AK",NA
0211800,"Chalkyitsik, AK",NA
0282420,"Venetie, AK",NA
0216630,"Coldfoot, AK",NA
0274610,"Takotna, AK",NA
0201390,"Alcan Border, AK",NA
0226100,"Fort Greely, AK",NA
0233470,"Hooper Bay, AK",1227
0261630,"Point Hope, AK",715
0213450,"Chicken, AK",NA
0256220,"Northway, AK",NA
0256250,"Northway Junction, AK",NA
0256260,"Northway Village, AK",NA
0254700,"Noatak, AK",NA
0264980,"Red Dog Mine, AK",NA
0234570,"Hyder, AK",NA
0261190,"Point Baker, AK",NA
0237975,"Kasigluk, AK",NA
0258330,"Oscarville, AK",NA
0243260,"Lazy Mountain, AK",NA
0247735,"Meadow Lakes, AK",NA
0225220,"Ferry, AK",NA
0279780,"Twin Hills, AK",NA
0260310,"Petersburg, AK",NA
0227420,"Gakona, AK",NA
0271090,"Sleetmute, AK",NA
0273400,"Stony River, AK",NA
0205585,"Bear Creek, AK",NA
0245790,"McCarthy, AK",NA
0278350,"Tonsina, AK",NA
0279230,"Tununak, AK",NA
0217670,"Covenant Life, AK",NA
0231050,"Haines, AK",NA
0285290,"Willow Creek, AK",NA
0252060,"Naknek, AK",NA
0272190,"South Naknek, AK",NA
0213670,"Chignik Lagoon, AK",NA
0235120,"Iliamna, AK",NA
0241280,"Kokhanok, AK",NA
0243810,"Levelock, AK",NA
